	full name	simple name	stigmatizing
15	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Brief up-date on general health status and changes that may have occurred since last visit. Data were collected at year 17 (6-months phone interview follow-up).\CURRENT MARITAL STATUS\	CURRENT MARITAL STATUS	y
16	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\Anti-psychotic medications\	Anti-psychotic medications	y
17	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\DEPRESSION SCALE TOTAL\	DEPRESSION SCALE TOTAL	y
18	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\EDUCATION\	EDUCATION	y
19	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\Estrogens, excluding vaginal creams\	Estrogens, excluding vaginal creams	y
20	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\HAVE YOU EVER TAKEN OTHER ESTROGENS\	HAVE YOU EVER TAKEN OTHER ESTROGENS	y
21	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\MARITAL STATUS\	MARITAL STATUS	y
22	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\Premarin (conjugated estrogens)\	Premarin (conjugated estrogens)	y
23	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\RACE\	RACE	n
24	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\SPECIFY OTHER RACE\	SPECIFY OTHER RACE	n
25	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information of subjects (all > 65 years of age)\TENNIS (SINGLES) PAST 2 WEEK\	TENNIS (SINGLES) PAST 2 WEEK	n
26	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\AGE STOPPED TAKING ESTROGEN\	AGE STOPPED TAKING ESTROGEN	y
27	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\Anti-psychotic medications\	Anti-psychotic medications	y
28	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\CURRENT ESTROGEN DAYS/MONTH\	CURRENT ESTROGEN DAYS/MONTH	y
29	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\CURRENTLY TAKING ESTROGEN\	CURRENTLY TAKING ESTROGEN	y
30	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\Can you have sexual relations\	Can you have sexual relations	y
31	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\DAYS PER MONTH TAKE ESTROGEN\	DAYS PER MONTH TAKE ESTROGEN	y
32	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\DAYS PER MONTH TOOK ESTROGEN\	DAYS PER MONTH TOOK ESTROGEN	y
33	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\DEPRESSION SCALE TOTAL\	DEPRESSION SCALE TOTAL	y
34	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\DEPRESSION\	DEPRESSION	y
35	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\Estrogens, excluding vaginal creams\	Estrogens, excluding vaginal creams	y
36	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\MONTHS CURRENTLY TAKING ESTROGEN\	MONTHS CURRENTLY TAKING ESTROGEN	y
37	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\MONTHS TOOK ESTROGEN IN PAST\	MONTHS TOOK ESTROGEN IN PAST	y
38	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\MONTHS TOOK ESTROGEN\	MONTHS TOOK ESTROGEN	y
39	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\MONTHS YOU'VE BEEN TAKING ESTROGEN\	MONTHS YOU'VE BEEN TAKING ESTROGEN	y
40	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\PAST USE OF ESTROGEN DAYS/MONTH\	PAST USE OF ESTROGEN DAYS/MONTH	y
41	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\Premarin (conjugated estrogens)\	Premarin (conjugated estrogens)	y
42	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\SEXUAL DISORDER\	SEXUAL DISORDER	y
43	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\SPECIFY OTHER REASONS FOR TAKING ESTROGEN\	SPECIFY OTHER REASONS FOR TAKING ESTROGEN	y
44	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\SPECIFY OTHER REASONS TOOK ESTROGEN\	SPECIFY OTHER REASONS TOOK ESTROGEN	y
45	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKE ESTROGENS OR OTHER FEMALE HORMONES\	TAKE ESTROGENS OR OTHER FEMALE HORMONES	y
46	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKING ESTROGEN FOR OTHER REASONS\	TAKING ESTROGEN FOR OTHER REASONS	y
47	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKING ESTROGEN REASONS, SPECIFY\	TAKING ESTROGEN REASONS, SPECIFY	y
48	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKING ESTROGEN TO PREVENT CHD\	TAKING ESTROGEN TO PREVENT CHD	y
49	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKING ESTROGEN TO PREVENT HOT FLASHES\	TAKING ESTROGEN TO PREVENT HOT FLASHES	y
50	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKING ESTROGEN TO PREVENT OSTEOPOROSIS\	TAKING ESTROGEN TO PREVENT OSTEOPOROSIS	y
51	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TAKING ESTROGEN TO PREVENT OTHER SYMPTOM\	TAKING ESTROGEN TO PREVENT OTHER SYMPTOM	y
52	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN FOR OTHER REASONS\	TOOK ESTROGEN FOR OTHER REASONS	y
53	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN IN THE PAST\	TOOK ESTROGEN IN THE PAST	y
54	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN REASONS, SPECIFY\	TOOK ESTROGEN REASONS, SPECIFY	y
55	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN TO PREVENT CHD\	TOOK ESTROGEN TO PREVENT CHD	y
56	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN TO PREVENT HOT FLASHES\	TOOK ESTROGEN TO PREVENT HOT FLASHES	y
57	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN TO PREVENT OSTEOPOROSIS\	TOOK ESTROGEN TO PREVENT OSTEOPOROSIS	y
58	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\TOOK ESTROGEN TO PREVENT OTHER SYMPTOMS\	TOOK ESTROGEN TO PREVENT OTHER SYMPTOMS	y
59	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\USE INTELLIGENCE TO UNDERSTAND OR REASON\	USE INTELLIGENCE TO UNDERSTAND OR REASON	y
60	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\YEAR STOPPED TAKING ESTROGEN\	YEAR STOPPED TAKING ESTROGEN	y
61	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\YEARS TOOK ESTROGEN\	YEARS TOOK ESTROGEN	y
62	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age)\YEARS YOU'VE BEEN TAKING ESTROGEN\	YEARS YOU'VE BEEN TAKING ESTROGEN	y
63	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\AGE STOPPED TAKING ESTROGEN\	AGE STOPPED TAKING ESTROGEN	y
64	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\Anti-psychotic medications\	Anti-psychotic medications	y
65	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\CURRENT ESTROGEN DAYS/MONTH\	CURRENT ESTROGEN DAYS/MONTH	y
66	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\CURRENTLY TAKING ESTROGEN\	CURRENTLY TAKING ESTROGEN	y
67	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\DEPRESSION SCALE TOTAL\	DEPRESSION SCALE TOTAL	y
68	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\DEPRESSION\	DEPRESSION	y
69	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\EDUCATION\	EDUCATION	y
70	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\Estrogens, excluding vaginal creams\	Estrogens, excluding vaginal creams	y
71	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\MARITAL STATUS\	MARITAL STATUS	y
72	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\MONTHS CURRENTLY TAKING ESTROGEN\	MONTHS CURRENTLY TAKING ESTROGEN	y
73	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\MONTHS TOOK ESTROGEN IN PAST\	MONTHS TOOK ESTROGEN IN PAST	y
74	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\PAST USE OF ESTROGEN DAYS/MONTH\	PAST USE OF ESTROGEN DAYS/MONTH	y
75	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\Premarin (conjugated estrogens)\	Premarin (conjugated estrogens)	y
76	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\RACE\	RACE	n
77	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\SEXUAL DISORDER\	SEXUAL DISORDER	y
78	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\SPECIFY OTHER RACE\	SPECIFY OTHER RACE	n
79	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\TAKING ESTROGEN FOR OTHER REASONS\	TAKING ESTROGEN FOR OTHER REASONS	y
80	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\TAKING ESTROGEN REASONS, SPECIFY\	TAKING ESTROGEN REASONS, SPECIFY	y
81	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Data contain extensive medical history information, describing general physical and psychological health of participating subjects (all > 65 years of age; subjects were also queried about family history of cardio-vascular disease, especially stroke). Emphasis is given to auditory, visual, respiratory, cardio-vascular functions, medications/supplements taken, cognitive and emotional well being and subjects' mobility/independence and movement limitations. Lifestyle information is provided through variables querying for alcohol consumption, dietary, exercise and smoking habits. Data were collected at year 5 (NEW).\TAKING ESTROGEN TO PREVENT CHD\	TAKING ESTROGEN TO PREVENT CHD	y
